tag,type,count,aliases
penis,0,380639,"cock,dicks,dick,cocks"
pussy,0,339926,"vagina,vulva"
sex,0,247136,"fucking,fuck"
cum,0,232265,"cumshot,semen,sperm"
vaginal,0,183092,"vaginal_penetration,vaginal_sex"
loli,0,137119,lolicon
pubic_hair,0,127167,"hairy_pussy,pubes"
pussy_juice,0,102555,"pussy_juice_drip,wet_pussy,vaginal_juices"
cum_in_pussy,0,95822,"cum_inside,nakadashi"
cameltoe,0,92776,camel_toe
erection,0,88856,erect_penis
female_pubic_hair,0,81722,
groping,0,78592,"grope,fondling,fondle"
cum_on_body,0,63955,"cum_on_hips,cum_on_arm,cum_on_arms,semen_on_body,semen_on_lower_body,semen_on_upper_body,cum_on_upper_body,cum_on_lower_body"
grabbing_another's_breast,0,63266,"boob_grab,breasts_grab,breast_grab,grabbing_breasts"
bdsm,0,63062,
fellatio,0,62219,"blowjob,blow_job,sucking_dick,sucking_penis,sucking_cock"
sex_from_behind,0,61361,"penetration_from_behind,taken_from_behind,from_behind_position"
bondage,0,53747,tied_up_(sexual)
anal,0,48432,"anal_sex,anal_penetration"
sex_toy,0,48343,sex_toys
ejaculation,0,46751,ejaculation_between_breasts
male_pubic_hair,0,45886,
facial,0,43907,cum_on_face
areola_slip,0,42187,areolae_slip
areolae,0,41300,
paizuri,0,39124,"tit_fuck,titfuck,titjob"
cum_on_breasts,0,38769,"cum_between_breasts,cum_on_tits,semen_on_breasts"
handjob,0,34612,"hand_job,tekoki"
clothed_sex,0,34562,
puffy_nipples,0,34282,"puffy_nipple,puffy_areolae"
bulge,0,32920,
condom,0,31407,condoms
cumdrip,0,30779,cum_drip
fingering,0,30335,fingers_in_pussy
rape,0,29281,
cum_in_mouth,0,27973,"cumshot_in_mouth,oral_cumshot,semen_in_mouth"
spread_pussy,0,27872,"open_pussy,spread_vagina"
multiple_penises,0,27709,
missionary,0,26860,missionary_position
large_penis,0,23609,big_penis
veiny_penis,0,23357,
cum_overflow,0,22324,
nipple_stimulation,0,22052,
large_areolae,0,21737,"large_areola,big_areolae,big_areola"
vibrator,0,21546,vibrators
panties_aside,0,21524,panty_aside
cum_on_hair,0,20619,"cum_in_hair,semen_on_hair"
dildo,0,20545,
shota,0,19772,
panties_around_one_leg,0,19621,panties_around_leg
partially_visible_vulva,0,18857,
gangbang,0,17517,"gang_rape,gangrape,gangsex,gang_sex,gang_bang"
nipple_tweak,0,16069,nipple_pinch
highleg_one-piece_swimsuit,0,15871,
after_vaginal,0,15327,
happy_sex,0,15102,
precum,0,14354,
cum_in_ass,0,14016,"semen_in_anus,anal_nakadashi"
presenting,0,13951,sex_invitation
sexually_suggestive,0,13321,
bukkake,0,13257,"bukakke,cum_covered,cum_everywhere"
anal_object_insertion,0,13141,"anal_insertion,anal_object_push"
condom_wrapper,0,12805,
used_condom,0,12740,
mmf_threesome,0,12401,fmm_threesome
male_penetrated,0,12205,
standing_sex,0,12160,
cum_on_clothes,0,11962,"cum_on_stockings,cum_on_pantyhose,cum_on_socks,cum_on_thighhighs,cum_on_shoes,cum_on_buruma,cum_on_swimsuit,cum_on_panties,cum_on_clothing"
vaginal_object_insertion,0,10695,"vaginal_insertion,vaginal_object_push"
cunnilingus,0,10250,pussy_lick
licking_penis,0,10209,
erection_under_clothes,0,10129,covered_erection
grabbing_another's_ass,0,10036,
double_penetration,0,9961,
huge_penis,0,9521,
foreskin,0,9315,uncircumcised
bra_lift,0,9185,
bikini_pull,0,8987,bikini_down
reverse_cowgirl_position,0,8605,reverse_cowgirl
female_ejaculation,0,8590,squirting_(sex)
untied_bikini,0,8518,
gigantic_breasts,0,8491,gigantic_breast
cum_string,0,7925,"cumstring,cum_trail"
tentacle_sex,0,7883,
footjob,0,7604,ashikoki
internal_cumshot,0,7480,"internal,semen_in_uterus,cum_in_uterus"
cum_on_ass,0,7300,semen_on_ass
heart_pasties,0,7270,
