tag,type,count,aliases
1girl,0,5596576,1girls
highres,5,4742483,"hires,high_res,high_resolution"
solo,0,4658013,female_solo
long_hair,0,4023954,
breasts,0,3188397,"boobs,tits,breast"
commentary_request,5,3107441,
looking_at_viewer,0,3038888,
blush,0,2742821,"blushing,flush,flushed"
smile,0,2641666,":),:},smiling"
open_mouth,0,2173469,
short_hair,0,2097149,
blue_eyes,0,1639279,
simple_background,0,1636162,
shirt,0,1615452,shirts
absurdres,5,1575018,
large_breasts,0,1464796,"large_breast,big_breasts,large_tits,large_boobs"
skirt,0,1454098,
blonde_hair,0,1433242,"blonde,blond,yellow_hair,blond_hair,gold_hair"
multiple_girls,0,1430181,
brown_hair,0,1385686,brunette
long_sleeves,0,1377521,long_sleeve
black_hair,0,1374046,
white_background,0,1342906,
hair_ornament,0,1306230,"hair_ornaments,hair_accessories,hair_accessory"
1boy,0,1274327,1boys
gloves,0,1240621,glove
holding,0,1199078,"holding_object,hold"
red_eyes,0,1186146,red_eye
commentary,5,1182804,commentaries
dress,0,1174670,
bad_id,5,1130685,
hat,0,1124835,
thighhighs,0,1105199,"stocking,stockings,naked_thighhighs"
original,3,1091876,original_character
bow,0,1087544,bows
animal_ears,0,1070687,"kemonomimi,pokemon_ears"
navel,0,1070521,"belly_button,bellybutton"
hair_between_eyes,0,1051568,bangs_between_eyes
closed_mouth,0,1031432,
ribbon,0,1019131,ribbons
jewelry,0,964358,
2girls,0,947741,"2girl,2_girls"
cleavage,0,932610,
bare_shoulders,0,902649,bare_shoulder
bad_pixiv_id,5,890825,
touhou,3,876516,toho
very_long_hair,0,872290,hair_past_waist
sitting,0,867335,"sit,sitting_down"
twintails,0,844147,"twintail,twin_tails"
medium_breasts,0,835628,
standing,0,828726,
jacket,0,824707,
brown_eyes,0,799878,
blue_hair,0,785950,
green_eyes,0,782861,
nipples,0,780835,nipple
underwear,0,754367,undergarments
purple_eyes,0,745095,
white_shirt,0,744720,white_blouse
school_uniform,0,744685,"seifuku,school_uniforms,school_girl,schoolgirl"
collarbone,0,728104,"collarbones,clavicle"
full_body,0,722995,
tail,0,715514,animal_tail
photoshop_(medium),5,705952,
upper_body,0,695351,bust
closed_eyes,0,642425,
white_hair,0,641369,
yellow_eyes,0,635399,
pink_hair,0,624513,
swimsuit,0,618120,"mizugi,swim_suit,swimsuits,bathing_suit"
panties,0,616950,pantsu
male_focus,0,611234,"men,male_only,man,boys_only,guys_only"
grey_hair,0,607365,gray_hair
multicolored_hair,0,604156,multicolor_hair
ahoge,0,593358,
monochrome,0,592829,monochromatic
purple_hair,0,581001,lavender_hair
braid,0,580126,"braids,braided_hair,hair_braid"
flower,0,572072,flowers
hair_ribbon,0,568333,"hair_ribbons,ribbon_hair_ornament"
short_sleeves,0,566788,
ponytail,0,560473,"pony_tail,long_ponytail"
ass,0,556302,butt
weapon,0,554002,weapons
sidelocks,0,553595,"forelocks,payot"
translated,5,546216,translation
heart,0,528871,"<3,hearts"
thighs,0,518877,thigh
:d,0,509950,
hetero,0,509756,
comic,0,509286,"comics,manga"
cowboy_shot,0,505414,
earrings,0,501068,"earring,ear_ring"
hair_bow,0,497521,hair_bows
outdoors,0,493603,"outside,outdoor"
pantyhose,0,488100,tights
kantai_collection,3,487479,"kancolle,kankore"
sweat,0,478231,sweating
translation_request,5,477210,
red_hair,0,474962,redhead
greyscale,0,468439,"grayscale,black_and_white"
bikini,0,467650,
pleated_skirt,0,463480,
nude,0,461829,naked
small_breasts,0,458326,
frills,0,453162,"frilly,frill,ruffles,frilled"
parted_lips,0,449075,
open_clothes,0,443387,open_clothing
hairband,0,440825,hair_band
teeth,0,434534,bared_teeth
censored,0,426097,"censor,censoring"
boots,0,423200,"boot,naked_boots"
horns,0,422965,
multiple_boys,0,417911,
lying,0,415670,"laying,laying_down,lying_down"
wings,0,405198,wing
food,0,404785,
necktie,0,403990,"tie,neck_tie"
sky,0,400039,sky_background
one_eye_closed,0,397983,wink
shorts,0,396781,short_pants
detached_sleeves,0,395379,"armsleeves,naked_sleeves,detached_sleeve"
collared_shirt,0,389694,collared_blouse
sleeveless,0,387531,no_sleeves
black_gloves,0,385267,black_glove
shoes,0,384071,shoe
green_hair,0,382682,
alternate_costume,0,381878,"alternative_costume,alternate_outfit"
english_commentary,5,379846,
japanese_clothes,0,370958,"wafuku,japanese_clothing,traditional_japanese_clothes"
choker,0,367048,
pants,0,363389,"trousers,slacks,long_pants"
pointy_ears,0,353419,"long_ears,pointed_ears,pointy_ear,elf_ears,elven_ears"
socks,0,350129,"sock,naked_socks"
barefoot,0,346246,"bare_feet,bare_foot,barefeet"
tongue,0,345507,tongues
virtual_youtuber,0,344133,vtuber
glasses,0,335473,"meganekko,megane,meganeko"
solo_focus,0,332457,
medium_hair,0,331504,shoulder-length_hair
artist_name,0,327847,
indoors,0,323124,
day,0,321704,
puffy_sleeves,0,319264,
black_thighhighs,0,315145,
hand_up,0,311945,"one_hand_raised,hand_raised,raised_hand"
hairclip,0,310562,"hairclips,hair_clip,hair_clips,barrette"
fate_(series),3,310456,
belt,0,309096,belts
serafuku,0,303068,
fang,0,298209,
elbow_gloves,0,287389,"long_gloves,opera_gloves"
midriff,0,283766,
official_alternate_costume,0,277254,official_alternate_outfit
official_art,5,275550,
white_gloves,0,274507,white_glove
bowtie,0,272001,"bow_tie,neck_bow"
signature,0,270593,"signed,artist_signature,autograph"
cloud,0,270506,clouds
hood,0,270209,
2boys,0,268526,2boy
black_skirt,0,268286,
looking_back,0,265144,"turning,looking_over_shoulder"
dark_skin,0,261657,brown_skin
blunt_bangs,0,261174,
cat_ears,0,259168,nekomimi
sword,0,256321,swords
hair_flower,0,255833,"hair_flowers,flower_in_hair,flower_hair_ornament"
tongue_out,0,253671,
black_footwear,0,252095,"black_boots,black_shoes"
pink_eyes,0,251127,
sailor_collar,0,249894,
stomach,0,244776,
grey_background,0,240270,gray_background
pokemon,3,240196,pocket_monsters
miniskirt,0,239906,"mini_skirt,short_skirt"
wide_sleeves,0,239251,
fingerless_gloves,0,238710,fingerless_glove
spread_legs,0,238480,"open_legs,spread_leg"
twitter_username,0,235407,artist_twitter
white_dress,0,235357,
on_back,0,234909,"supine,lying_on_back"
holding_weapon,0,232229,
looking_at_another,0,230823,
halo,0,228102,
3girls,0,227982,3girl
fate/grand_order,3,226759,fgo
armpits,0,226686,armpit
tears,0,225278,tear
mole,0,224987,beauty_mark
necklace,0,223150,
hair_over_one_eye,0,221878,hair_over_eye
kimono,0,221798,
hair_bun,0,221668,
off_shoulder,0,221541,"off-shoulder,off_shoulders"
nail_polish,0,218255,"painted_nails,nail_varnish,colored_nails"
striped_clothes,0,217914,striped_clothing
chibi,0,217621,super_deformed
star_(symbol),0,217153,
idolmaster,3,216800,"idol_master,idolm@ster,the_idolmaster"
orange_hair,0,214760,
from_behind,0,214711,viewed_from_behind
streaked_hair,0,212941,highlights
rabbit_ears,0,211945,bunny_ears
speech_bubble,0,210365,"text_bubble,speech_balloon,word_bubble"
grin,0,210354,grinning
bag,0,209872,bags
black_dress,0,209815,
water,0,209644,
open_jacket,0,209445,open_blazer
two-tone_hair,0,209315,
blurry,0,208776,blurred
blue_archive,3,208569,
english_text,0,208373,english
sweatdrop,0,206134,"sweat_drop,sweatdrops,sweat_drops"
black_eyes,0,204749,
from_side,0,201902,"side,side_view,viewed_from_side"
black_jacket,0,200890,black_blazer
white_thighhighs,0,197757,
cape,0,197420,
yuri,0,196931,"lesbian,shoujo-ai,girl's_love,girls_love,girl_love"
coat,0,196867,
clothes_lift,0,196827,
vest,0,196559,
genshin_impact,3,196229,genshin
scarf,0,195530,muffler
armor,0,193573,armour
bad_twitter_id,5,193025,
hololive,3,192910,
apron,0,191414,
huge_breasts,0,191057,"huge_tits,huge_boobs"
red_bow,0,190129,
bra,0,189334,
arm_up,0,188684,"raised_arm,arm_raised,one_arm_up"
leotard,0,187810,
feet,0,186801,foot
mosaic_censoring,0,186631,"rough_censoring,mosaic_censor,pixel_censor"
character_name,0,185533,
high_heels,0,182734,heels
black_shirt,0,180734,black_blouse
sweater,0,179329,sweatshirt
white_panties,0,177473,
blue_sky,0,176923,
bracelet,0,176870,bracelets
:o,0,175376,:0
animal_ear_fluff,0,174310,
arms_up,0,173957,"arms_above_head,arms_above,hands_above_head,raised_arms,arms_raised"
collar,0,173451,
black_pantyhose,0,171586,
dated,0,171540,
crop_top,0,170676,
parted_bangs,0,168543,
twin_braids,0,167018,"twinbraids,twinbraid,twin_braid,double_braid"
red_ribbon,0,165526,
cup,0,165516,"cups,drinking_cup"
completely_nude,0,165380,completely_naked
flat_chest,0,164918,"pettanko,flat_chested"
side_ponytail,0,164687,"sidetail,side_tail"
dark-skinned_female,0,163456,
hands_up,0,162269,hands_raised
puffy_short_sleeves,0,161870,
aqua_eyes,0,161749,
