tag,type,count,aliases
genitals,0,2156974,"copy-paste_genitalia,copy_paste_genitalia,exposed_genital,exposed_genitalia,exposed_genitals,external_sex_organ,external_sex_organs,female_genital,female_genitalia,female_genitals,genital,genitalia,genitals.,gentials,gonads,human/animal_genitalia,male_genetalia,male_genital,male_genitalia,male_genitals,private_part,private_parts,privates,reasonably_sized_genitals"
penis,0,1480906,"alien_cock,alien_dick,alien_dong,alien_penis,avian_penis,beautiful_penis,cock,cocks,colored_penis,custom_penis,cute_penis,dick,dicks,dong,draconic_cock,draconic_penis,dragon_cock,dragon_penis,exposed_penis,inherited_penis,insect_penis,massive_cock,massive_penis,member,neon_penis,peen,pene,penes,penii,penises,pennis,phallus,pênis,reptile_penis,schlong,shaft"
balls,0,1009305,"ball_sack,ballsack,bals,human_ball,human_ball_sack,human_balls,human_ballsack,human_scrotum,human_testes,human_testicle,human_testicles,humanoid_ball,humanoid_ball_sack,humanoid_balls,humanoid_ballsack,humanoid_scrotum,humanoid_testes,humanoid_testicle,humanoid_testicles,scrotum,testes,testicals,testicle,testicles"
genital_fluids,0,980496,"genital_fluid,genitalia_fluid,genitalia_fluids"
sex,0,975757,"coital,coitus,consensual_sex,fuck,fucked,fucking,gay_sex,indoors_sex,inter_course,intercourse,lovemaking,mating,sexo,sexual_inter_course,sexual_intercourse,straight_sex,unprotected,unprotected_sex,yiff,yiffing"
pussy,0,860868,"cunt,exposed_pussy,labia,labia_majora,monotone_pussy,pussy_lips,twat,vag,vagina,vertical_pussy,vulva"
erection,0,854681,"boner,erction,erect,erect_cock,erect_penis,erected,erected_penis,erectio,erections,eretion,errected,errected_penis,errection,fully_erect,hard-on,hard_on,hard_penis,hardon,rection"
penetration,0,803285,"girly_penetrating,insertion,male_penetration,non-humanoid_creature_penetrated,non-humanoid_creature_penetrating,pemetrating,pemetration,penatration,penetracion,penetraiton,penetrasion,penetrated,penetratin,penetrating,penitration,pentrating"
cum,0,661587,"cum_filled,cummy,jizz,semen,seminal_fluid,sperm,spooge,spunk,sticky_cum,thick_cum,white_cum"
penile,0,573511,"penile_intercourse,penile_stimulation"
anus,0,520101,"animal_anus,anuses,ass_hole,asshole,butt_hole,butthole,canine_anus,drool_worthy_anus,exposed_anus,non-mammal_anus,tail_hole,tailhole"
male_penetrating,0,495140,"male_penetrating_alien,male_penetrating_robot"
animal_genitalia,0,459081,"animal_anatomy,animal_genetalia,animal_genital,animal_genitalita,animal_genitals,feral_genital,feral_genitalia,feral_genitals"
humanoid_genitalia,0,449429,"human_genital,human_genitalia,human_genitals,human_private_parts,human_sexual_organs,humanoid_genital,humanoid_genitals,humanoid_private_parts,humanoid_sexual_organs"
humanoid_penis,0,425912,"anthro_gynomorph_with_human_penis,anthro_herm_with_human_penis,anthro_intersex_with_human_penis,anthro_male_with_human_penis,anthro_maleherm_with_human_penis,humaanoid_penis,human_cock,human_dick,human_penis,human_penis_on_anthro,human_penis_on_feral,human_penis_on_humanoid,human_penis_on_non-human,human_penis_on_non-humanoid,human_penis_on_non_human,human_penis_on_non_humanoid,human_penis_on_nonhuman,human_penis_on_nonhumanoid,human_penis_on_taur,humaniod_penis,humanoid-penis,humanoid_cock,humanoid_dick,humanoid_peen,humanoid_penis_on_anthro,humanoid_penis_on_humanoid,humanoid_penis_on_non-human,humanoid_penis_on_non-humanoid,humanoid_penis_on_non_human,humanoid_penis_on_non_humanoid,humanoid_penis_on_nonhuman,humanoid_penis_on_nonhumanoid,humanoid_penis_on_taur,huminoid_penis,non-humanoid_humanoid_penis,non_humanoid_humanoid_penis,nonhumanoid_humanoid_penis"
anal,0,398930,"anal_intercourse,anal_play,anal_stimulation,ass_sex,butt_sex,buttsecks,buttsex,rectum"
areola,0,392271,"aerola,areolae,areolas,monotone_areola"
cum_inside,0,382870,"cream_pie,creampie,cum_while_penetrating,cumming_inside,feral_creampied,internal_cumshot"
vaginal,0,381631,"vaginal_intercourse,vaginal_stimulation"
anal_penetration,0,328314,"anal_insertion,anal_peneration,anal_sex,ass_fuck,assfuck,butt_fuck,buttfuck,penetrating_ass"
big_penis,0,326929,"big_cock,big_cocks,big_dick,hung,large_cock,large_dick,large_penis,oversized_penis"
animal_penis,0,318423,"animal_dick,feral_penis"
female_penetrated,0,301643,
penile_penetration,0,293717,"penile_insertion,penile_pen,penile_sex,penis_insertion,penis_pen,penis_penetrating,penis_penetration,penis_sex,riding_cock"
vaginal_penetration,0,290807,"penetrating_pussy,pussy_penetration,vaginal_insertion,vaginal_pen,vaginal_penetrating,vaginal_pentration,vaginal_sex"
oral,0,281747,"oral_sex,tongue_fuck"
male_penetrating_female,0,268212,"m/p/fm,♂_penetrating_♀"
presenting,0,236541,"displaying,exposing_self,show_off,showing_off"
intersex,0,233519,"1_futa,1_futanari,1_intersex,1futa,1futanari,1intersex,bustyboy,female_with_penis,futa,futa_only,futa_solo,futanari,futanari_only,intersex_non-humanoid_creature,intersex_only,intersex_student,intersex_teacher,intersexed,intersexual"
male_penetrated,0,212397,
looking_pleasured,0,205605,"lookign_pleasured,looking_pleased,pleasure_expression,pleasure_face,pleasured,pleasured_expression,pleasured_face,visibly_pleasured"
ejaculation,0,202873,"cumming,ejaculate,ejaculating,ejaculating_cum"
knot,0,201330,knott
big_balls,0,196715,"large_balls,large_testicles"
