tag,type,count,aliases
mammal,0,3241770,"cetancodont,cetancodontamorph,feralmammal,mammal_(species),mammale,mammalian,mammals,mammel,panda_panda,ungulate"
anthro,0,3167963,"adult_anthro,anhtro,anthro_kissed,anthro_kissing,anthro_on_non-humanoid_creature,anthro_only,anthro_student,anthro_teacher,anthroart,anthrofur,anthromorph,anthromorphic,anthropomorph,anthropomorphic,anthros,antrho,antro,furry_anthro,furryanthro"
hi_res,5,2892647,"hd,hi-res,hi_def,hi_resolution,high-res,high_definition,high_res,high_resolution,highres,hires"
female,0,2436254,"1_girl,1girl,1girls,2_girl,2_girls,2girl,2girls,3_girl,3_girls,3girl,3girls,4_girl,4_girls,4girl,4girls,5_girls,7girls,adult_female,all_female,babe,babes,bad_girl,bitch,bunny_girl,doe,f,f/solo,feamle,femael,female/solo,female_cat,female_kissing,female_non-humanoid_creature,female_on_monster,female_only,female_solo,female_student,female_teacher,female_wolf,femalefur,females,females_only,fembeast,fmale,four_girl,four_girls,fsolo,furry_female,furry_sona_female,furryfemale,gal,gen:female,girl,girls,many_girls,multiple_females,multiple_girls,one_girl,shewolf,solo_female,three_girl,three_girls,two_girl,two_girls,woman,women"
male,0,2381877,"1_boy,1_guys,1boy,1guy,1male,2_boys,2_guys,2boys,2guys,3_boys,3_guys,3boys,3guys,4_boys,4_guys,4boys,4guys,5boys,5guys,adult_male,bad_boy,big_boy,bishonen,boi,boy,boys,bunny_boy,dude,four_boys,four_guys,furry_boys,gen:male,guy,guys,m,m/solo,male/solo,male_animal,male_ass,male_kissed,male_kissing,male_kissing_anthro,male_non-humanoid_creature,male_on_monster,male_on_robot,male_only,male_solo,male_student,male_teacher,malefur,males,males_only,man,men,msolo,multiple_boys,multiple_guys,multiple_males,one_boy,one_guy,sole_male,solo/male,solo_male,three_boys,three_guys,two_boys,two_guys"
solo,0,2223787,"alone,single"
clothing,0,1962754,"(clothing),clothes,cloths,cloting,cute_clothing,girly_clothing,traditional_clothing"
hair,0,1677480,"anime_hair,colorful_hair,girly_hair,hair_style,hairstyle,neon_hair"
breasts,0,1662505,"2_breasts,average_breasts,boob,boobie,boobies,boobs,breast,breasts_outside,breats,brests,inherited_breasts,massive_breasts,nockers,oppai,pechos,tetas,tiddie,tiddies,tiddy,tits,tittie,titties,titty,torpedo_tits,wandering_boob"
fur,0,1633525,"furred,monochrome_fur,uncolored_fur"
duo,0,1519423,"pair,two_characters"
